################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.0181047574848879E-01 a       244     0    10     1    19
 -2.6440381196955167E+00 a       245     0    10     1    20
  2.2646870035493261E+00 a       246     0    10     1    21
 -3.3712814813787945E-01 a       247     0    10     1    22
 -4.4727713032798780E-02 a       248     0    10     1    23
  7.2565469625081180E-01 a       249     0    10     1    24
 -1.9709325067135517E+00 a       250     0    10     1    25
 -1.0395655591023760E+00 a       251     0    11     1     1
  2.5267064937753241E+00 a       252     0    11     1     2
  2.6731005165073181E+00 a       253     0    11     1     3
 -8.1788817836178096E-01 a       254     0    11     1     4
  2.0468423245530194E+00 a       255     0    11     1     5
  3.5346077940319094E+00 a       256     0    11     1     6
 -1.9423755044545122E-02 a       257     0    11     1     7
 -4.3166693523847268E+00 a       258     0    11     1     8
  3.8557600746858118E+00 a       259     0    11     1     9
 -4.1674877619628631E-01 a       260     0    11     1    10
 -9.0037232600489181E-01 a       261     0    11     1    11
 -2.9362143060829132E-01 a       262     0    11     1    12
 -1.1063063311831911E+00 a       263     0    11     1    13
  3.0802228219392025E+00 a       264     0    11     1    14
 -4.2504620700184642E-01 a       265     0    11     1    15
  8.4423828833809222E-02 a       266     0    11     1    16
  2.7002340508826195E+00 a       267     0    11     1    17
 -2.5542426913536747E+00 a       268     0    11     1    18
 -7.8689636058055057E-01 a       269     0    11     1    19
 -1.1802988495717350E+00 a       270     0    11     1    20
 -2.0488555090616820E-01 a       271     0    11     1    21
 -2.3300749546954522E+00 a       272     0    11     1    22
 -3.5811828136861550E+00 a       273     0    11     1    23
  2.0565302972685395E+00 a       274     0    11     1    24
  4.1023684484384155E+00 a       275     0    11     1    25
 -2.1635045115354936E+00 a       276     0    12     1     1
 -2.4027185243187702E-02 a       277     0    12     1     2
 -3.0097778804206690E+00 a       278     0    12     1     3
 -1.6807143112534817E+00 a       279     0    12     1     4
 -2.0696202668983458E-03 a       280     0    12     1     5
  6.8333668185307745E+00 a       281     0    12     1     6
 -1.3014575297312307E+00 a       282     0    12     1     7
 -3.5125714024908179E+00 a       283     0    12     1     8
  1.1040652993050157E+00 a       284     0    12     1     9
 -1.3970064921533627E+00 a       285     0    12     1    10
  3.6752214065452954E-01 a       286     0    12     1    11
  3.0438035044129910E+00 a       287     0    12     1    12
 -1.8583272154308956E+00 a       288     0    12     1    13
  3.5457109563256455E+00 a       289     0    12     1    14
 -2.4137232983893617E+00 a       290     0    12     1    15
 -6.4692738443360565E-01 a       291     0    12     1    16
 -1.4566745117826720E+00 a       292     0    12     1    17
 -3.4565249652384256E+00 a       293     0    12     1    18
 -1.9204905809601798E+00 a       294     0    12     1    19
 -3.0085923582206981E+00 a       295     0    12     1    20
 -2.7601817052634381E+00 a       296     0    12     1    21
 -9.9560574347331798E-01 a       297     0    12     1    22
 -3.7673951284188472E+00 a       298     0    12     1    23
  1.3183990431506905E+00 a       299     0    12     1    24
  2.0248610374899103E+00 a       300     0    12     1    25
  1.7285503873753539E-02 a       301     0    13     1     1
  1.5515676336415911E+00 a       302     0    13     1     2
 -2.2398233880889662E+00 a       303     0    13     1     3
  1.5969013768678395E-01 a       304     0    13     1     4
  2.7084243898005561E-01 a       305     0    13     1     5
 -7.7199580648218347E-01 a       306     0    13     1     6
  5.2689509434185589E-01 a       307     0    13     1     7
  2.5409281999204486E-01 a       308     0    13     1     8
  1.2823287823572900E+00 a       309     0    13     1     9
 -1.0315583508244842E-01 a       310     0    13     1    10
  3.6327910681473552E-01 a       311     0    13     1    11
 -3.0428990046824023E+00 a       312     0    13     1    12
  1.1205646335820692E-01 a       313     0    13     1    13
 -8.4686505169060389E-01 a       314     0    13     1    14
  6.6635647649975505E-01 a       315     0    13     1    15
  7.8781246846704844E-01 a       316     0    13     1    16
 -1.6563270476761989E+00 a       317     0    13     1    17
 -4.5904578622552615E-02 a       318     0    13     1    18
 -5.8491516121784193E-01 a       319     0    13     1    19
  8.4309275048679422E-01 a       320     0    13     1    20
 -1.7090506454654278E-02 a       321     0    13     1    21
 -2.4821695689582496E-01 a       322     0    13     1    22
 -8.6388050862077681E-01 a       323     0    13     1    23
  3.2668702035773750E-01 a       324     0    13     1    24
 -1.0762233091922080E+00 a       325     0    13     1    25
  3.1000854625601155E+00 a       326     0    14     1     1
  1.4426189347774201E+00 a       327     0    14     1     2
 -4.7240614014741400E-01 a       328     0    14     1     3
  2.2279518528061368E+00 a       329     0    14     1     4
 -6.5592106488172708E-01 a       330     0    14     1     5
 -1.1054977040139716E+01 a       331     0    14     1     6
  1.3857932352963589E+00 a       332     0    14     1     7
  4.4097019280548109E+00 a       333     0    14     1     8
  7.0413350761635929E-01 a       334     0    14     1     9
  1.2545105796499729E+00 a       335     0    14     1    10
  1.2768611130718099E+00 a       336     0    14     1    11
 -4.1828054253604501E+00 a       337     0    14     1    12
  1.7227525647710560E+00 a       338     0    14     1    13
 -3.0349894211635533E+00 a       339     0    14     1    14
  2.4215838524609357E+00 a       340     0    14     1    15
 -1.9755172985738917E-01 a       341     0    14     1    16
  5.6313598147265975E-01 a       342     0    14     1    17
  4.2390481846670305E+00 a       343     0    14     1    18
  7.3221372488649161E-01 a       344     0    14     1    19
  1.3990421894348126E+00 a       345     0    14     1    20
  4.8493597778985640E+00 a       346     0    14     1    21
  6.7947745596798115E-01 a       347     0    14     1    22
  2.8058430117938093E+00 a       348     0    14     1    23
 -8.5006872663962929E-01 a       349     0    14     1    24
 -6.7869911486597809E+00 a       350     0    14     1    25
 -1.5523803705646892E+00 a       351     0    15     1     1
