################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.9886457051055828E+00 a       283     0    12     1     8
  2.6341718971205483E+00 a       284     0    12     1     9
  5.8322458207417700E+00 a       285     0    12     1    10
  5.9732617890151500E+00 a       286     0    12     1    11
  1.0990659760902307E+01 a       287     0    12     1    12
  6.1676119521127868E+00 a       288     0    12     1    13
  4.5895608325110349E+00 a       289     0    12     1    14
  1.0403533507547609E+00 a       290     0    12     1    15
  2.2060417383693931E+00 a       291     0    12     1    16
 -1.0923110415184829E+00 a       292     0    12     1    17
 -2.6144401299216873E+00 a       293     0    12     1    18
 -5.0748884119462954E+00 a       294     0    12     1    19
 -2.7414098904194688E+00 a       295     0    12     1    20
  1.6548533890177977E+00 a       296     0    12     1    21
  2.0201979870194973E+00 a       297     0    12     1    22
 -3.8145946110430384E+00 a       298     0    12     1    23
 -6.2922776132204801E+00 a       299     0    12     1    24
 -7.5034476017075935E+00 a       300     0    12     1    25
 -1.5222906239514569E+00 a       301     0    13     1     1
  9.8624638217083771E-01 a       302     0    13     1     2
  1.2022526531329303E+00 a       303     0    13     1     3
  7.0823800309455653E-01 a       304     0    13     1     4
  1.1586995602834527E+00 a       305     0    13     1     5
  8.7086790647024370E-01 a       306     0    13     1     6
  5.9294474241565276E-01 a       307     0    13     1     7
 -1.7579118423257791E+00 a       308     0    13     1     8
 -4.8886324728199954E-01 a       309     0    13     1     9
 -4.1587120040448405E-01 a       310     0    13     1    10
  8.9928783825576064E-01 a       311     0    13     1    11
 -1.3437552392182754E+00 a       312     0    13     1    12
 -1.4458742306786176E+00 a       313     0    13     1    13
  3.5766173292080600E-01 a       314     0    13     1    14
  4.0499442837173910E-01 a       315     0    13     1    15
 -3.8897830078206801E+00 a       316     0    13     1    16
 -1.9375087973931737E+00 a       317     0    13     1    17
  3.6098270334012472E-01 a       318     0    13     1    18
  4.6536267854520008E-01 a       319     0    13     1    19
  1.5036253848948773E+00 a       320     0    13     1    20
  3.9587558158185265E-01 a       321     0    13     1    21
  9.3351064178543186E-01 a       322     0    13     1    22
  1.6607331681732843E-01 a       323     0    13     1    23
  1.3800354443589731E+00 a       324     0    13     1    24
  1.2236979331992353E+00 a       325     0    13     1    25
  4.0148640590769596E-01 a       326     0    14     1     1
  2.0825512787625358E+00 a       327     0    14     1     2
  7.4226269038105004E+00 a       328     0    14     1     3
 -5.8573586710557610E-02 a       329     0    14     1     4
  5.1369207568741126E-01 a       330     0    14     1     5
 -3.5899239931087337E+00 a       331     0    14     1     6
 -2.1541729753120649E+00 a       332     0    14     1     7
 -6.9525881807088918E+00 a       333     0    14     1     8
 -4.6420517774065182E+00 a       334     0    14     1     9
 -4.4047723669580643E+00 a       335     0    14     1    10
 -6.3786486205209991E+00 a       336     0    14     1    11
 -1.1591061315503348E+01 a       337     0    14     1    12
 -7.6235389189119758E+00 a       338     0    14     1    13
 -3.5395024052629185E+00 a       339     0    14     1    14
  1.0701918062461735E-01 a       340     0    14     1    15
 -8.9237000542598128E+00 a       341     0    14     1    16
 -2.1308014493628762E+00 a       342     0    14     1    17
  1.3262468425829537E+00 a       343     0    14     1    18
  5.2057632470611823E+00 a       344     0    14     1    19
  9.6637365041624221E+00 a       345     0    14     1    20
 -1.9836939086621712E+00 a       346     0    14     1    21
  8.4636237276931159E-01 a       347     0    14     1    22
  4.4560889006917055E+00 a       348     0    14     1    23
  1.1352802134965334E+01 a       349     0    14     1    24
  1.3461177261084181E+01 a       350     0    14     1    25
 -7.5069234319017664E-01 a       351     0    15     1     1
  4.2450643878018441E+00 a       352     0    15     1     2
  3.1579482404461728E-01 a       353     0    15     1     3
 -1.2992729915991226E+00 a       354     0    15     1     4
 -3.5415495873108765E-01 a       355     0    15     1     5
